seed,sigma,method,n_mcetp,mwp_at_50,ndcg_at_50,mwp_at_100,ndcg_at_100,mwp_at_250,ndcg_at_250
506,1.0,CVSS-only,32,0.1,0.1108,0.17,0.3107,0.116,0.4841
506,1.0,Random,32,0.0,0.0,0.0,0.0,0.004,0.0153
506,1.0,Context-only,32,0.08,0.0785,0.06,0.111,0.032,0.1383
506,1.0,PTI-full,32,0.24,0.377,0.21,0.5269,0.12,0.6612
506,1.0,PTI-noObs,32,0.18,0.2838,0.2,0.4692,0.12,0.6131
506,1.0,PTI-noCrit,32,0.14,0.1547,0.17,0.3261,0.12,0.5176
507,0.0,EPSS-day0,29,0.24,0.434,0.25,0.6639,0.116,0.7277
507,0.0,CAP-day0,29,0.24,0.5363,0.28,0.823,0.116,0.838
507,0.0,EPSS-matured-oracle,29,0.24,0.5521,0.28,0.8397,0.116,0.8546
507,0.0,CVSS-only,29,0.22,0.3823,0.17,0.4884,0.104,0.628
507,0.0,Random,29,0.0,0.0,0.02,0.0347,0.016,0.065
507,0.0,Context-only,29,0.02,0.0237,0.01,0.0237,0.008,0.038
507,0.0,PTI-full,29,0.24,0.5434,0.29,0.8482,0.116,0.8482
507,0.0,PTI-noObs,29,0.26,0.5659,0.18,0.6558,0.108,0.7967
